depth,GR
2848.326,76.786
2848.45,76.093
2848.574,75.586
2848.698,76.93
2848.823,80.657
2848.947,85.114
2849.071,87.07
2849.195,84.488
2849.319,78.508
2849.443,71.894
2849.568,66.613
2849.692,64.521
2849.816,66.785
2849.94,71.811
2850.064,76.42
2850.188,78.67
2850.313,78.11
2850.437,75.305
2850.561,71.632
2850.685,68.974
2850.809,67.681
2850.934,66.122
2851.058,63.608
2851.182,61.868
2851.306,62.892
2851.43,66.398
2851.554,70.409
2851.678,73.824
2851.803,76.681
2851.927,78.316
2852.051,77.273
2852.175,73.428
2852.3,68.762
2852.424,65.831
2852.548,65.743
2852.672,67.617
2852.796,69.88
2852.92,72.147
2853.044,75.183
2853.169,78.796
2853.293,81.186
2853.417,81.116
2853.541,79.48
2853.666,78.433
2853.79,78.95
2853.914,80.091
2854.038,80.422
2854.162,79.508
2854.286,78.021
2854.41,76.706
2854.535,76.097
2854.659,75.912
2854.783,75.094
2854.907,73.479
2855.031,72.257
2855.156,72.412
2855.28,73.558
2855.404,74.653
2855.528,75.74
2855.652,77.039
2855.776,77.381
2855.901,76.048
2856.025,74.277
2856.149,73.814
2856.273,74.438
2856.397,74.221
2856.521,72.93
2856.646,72.494
2856.77,74.451
2856.894,78.268
2857.018,81.947
2857.142,82.803
2857.267,79.087
2857.391,71.679
2857.515,63.68
2857.639,58.787
2857.763,58.701
2857.887,62.554
2858.012,68.229
2858.136,73.852
2858.26,77.807
2858.384,78.708
2858.508,76.152
2858.633,71.903
2858.757,68.604
2858.881,67.646
2859.005,68.814
2859.129,70.807
2859.253,72.244
2859.378,72.728
2859.502,73.17
2859.626,74.12
2859.75,74.945
2859.874,75.452
2859.999,76.637
2860.123,78.505
2860.247,78.112
2860.371,72.634
2860.495,63.66
2860.619,56.978
2860.744,56.625
2860.868,61.015
2860.992,66.254
2861.116,70.411
2861.24,73.982
2861.365,77.033
2861.489,78.904
2861.613,79.469
2861.737,79.157
2861.861,78.431
2861.985,78.109
2862.11,78.288
2862.234,77.084
2862.358,72.168
2862.482,63.824
2862.606,55.846
2862.73,52.402
2862.855,54.632
2862.979,60.815
2863.103,68.416
2863.227,75.517
2863.351,81.578
2863.476,86.789
2863.6,91.575
2863.724,96.494
2863.848,101.497
2863.972,105.066
2864.096,105.198
2864.221,101.408
2864.345,95.069
2864.469,87.893
2864.593,81.111
2864.717,76.542
2864.842,76.081
2864.966,79.536
2865.09,84.759
2865.214,89.368
2865.338,92.058
2865.462,92.688
2865.587,92.528
2865.711,91.035
2865.835,88.848
2865.959,86.789
2866.083,84.945
2866.208,82.208
2866.332,77.88
2866.456,73.441
2866.58,72.445
2866.704,74.9
2866.828,78.995
2866.953,83.389
2867.077,87.491
2867.201,89.785
2867.325,88.686
2867.449,85.127
2867.573,81.588
2867.698,80.418
2867.822,81.662
2867.946,83.757
2868.07,84.8
2868.194,84.319
2868.319,83.272
2868.443,83.492
2868.567,85.407
2868.691,86.935
2868.815,85.96
2868.939,83.344
2869.063,81.334
2869.188,78.928
2869.312,73.802
2869.436,68.552
2869.56,67.747
2869.685,73.395
2869.809,80.213
2869.933,84.081
2870.057,83.745
2870.181,82.06
2870.305,80.87
2870.429,80.733
2870.554,80.982
2870.678,81.376
2870.802,83.081
2870.926,85.596
2871.051,85.181
2871.175,79.729
2871.299,71.931
2871.423,68.001
2871.547,69.858
2871.672,76.32
2871.796,84.986
2871.92,92.401
2872.044,95.217
2872.168,93.61
2872.292,91.185
2872.417,90.735
2872.541,89.867
2872.665,86.269
2872.789,81.383
2872.914,79.21
2873.038,81.611
2873.162,86.121
2873.286,87.914
2873.41,84.607
2873.535,77.918
2873.659,72.54
2873.783,72.002
2873.907,74.978
2874.031,79.284
2874.156,84.171
2874.28,88.926
2874.404,92.414
2874.528,93.016
2874.652,91.247
2874.777,88.322
2874.901,85.29
2875.025,83.62
2875.149,83.784
2875.273,84.555
2875.398,84.215
2875.522,80.756
2875.646,74.165
2875.77,66.232
2875.895,60.514
2876.019,60.035
2876.143,65.009
2876.267,72.626
2876.391,78.185
2876.515,79.57
2876.64,79.15
2876.764,79.829
2876.888,80.931
2877.012,78.975
2877.136,73.251
2877.261,66.833
2877.385,64.135
2877.509,65.141
2877.633,67.712
2877.758,70.539
2877.882,74.308
