GR,time
88.3680375,1199
88.96697341,1200
88.4750847,1201
86.98717161,1202
85.93682114,1203
85.75106986,1204
86.14588519,1205
87.01084191,1206
87.92408488,1207
88.06816339,1208
87.60261327,1209
86.55482139,1210
84.72066839,1211
83.04850427,1212
82.33141501,1213
82.50177666,1214
83.98408,1215
86.81093644,1216
88.95091293,1217
90.11354007,1218
90.5516617,1219
90.21662563,1220
89.39080734,1221
88.58316014,1222
87.68109632,1223
86.49179422,1224
85.05565881,1225
84.25984141,1226
84.24554969,1227
84.43152863,1228
84.35217511,1229
83.70648,1230
82.68861119,1231
81.38242548,1232
79.39376652,1233
75.96409516,1234
72.29147244,1235
69.83643104,1236
68.27219114,1237
68.10288233,1238
69.74004309,1239
71.91866872,1240
73.89674834,1241
75.42792368,1242
76.41021782,1243
77.00807068,1244
77.54824,1245
78.37148044,1246
79.4650532,1247
80.47493789,1248
80.6017901,1249
79.80342124,1250
78.70704268,1251
77.61537656,1252
76.77089724,1253
76.36378547,1254
75.99803202,1255
75.47395604,1256
74.90288453,1257
74.62578779,1258
74.82516907,1259
75.2493548,1260
75.82161581,1261
76.38682639,1262
76.602412,1263
76.57275972,1264
76.71574365,1265
77.39597062,1266
78.44708358,1267
79.06390228,1268
79.27201765,1269
79.02529483,1270
78.48728623,1271
78.41793545,1272
79.18292457,1273
80.30699943,1274
81.18576,1275
81.17326887,1276
80.20457897,1277
78.82896534,1278
77.64787943,1279
77.18849682,1280
77.54471954,1281
78.19257531,1282
78.52775182,1283
77.91335936,1284
76.11229632,1285
74.47104882,1286
73.64416788,1287
73.71951806,1288
75.08153103,1289
77.0712,1290
77.99326101,1291
78.07064711,1292
77.35774363,1293
76.01162709,1294
75.04937194,1295
75.02892773,1296
75.20681951,1297
74.95593754,1298
73.84109236,1299
72.35631348,1300
70.7621688,1301
68.74893645,1302
65.8996837,1303
62.89641714,1304
61.10648,1305
59.96660451,1306
59.7349601,1307
60.36918221,1308
60.77650472,1309
60.33777128,1310
58.84687655,1311
55.79213684,1312
52.01707386,1313
49.93751893,1314
49.06436872,1315
49.95273359,1316
53.55932215,1317
58.35769305,1318
62.3063522,1319
65.87776,1320
69.01680853,1321
71.47538788,1322
72.50162337,1323
72.6837548,1324
72.59120076,1325
72.03398012,1326
71.16756484,1327
70.37612469,1328
69.6204805,1329
68.84365049,1330
68.0200856,1331
67.35311056,1332
66.87658497,1333
66.29532024,1334
65.442,1335
64.37812941,1336
63.43276817,1337
62.43608892,1338
60.5338204,1339
57.11043558,1340
53.25924042,1341
50.44625552,1342
48.04871707,1343
46.83572719,1344
47.71212626,1345
50.6956017,1346
55.06377143,1347
60.82837854,1348
68.1397785,1349
74.62232,1350
76.99132867,1351
77.58824133,1352
76.74698256,1353
74.44223351,1354
72.0921047,1355
70.55446864,1356
69.59179069,1357
70.0082119,1358
71.87618828,1359
74.00056304,1360
75.96415192,1361
77.68439011,1362
78.83022562,1363
78.95389972,1364
77.9278226,1365
76.28423436,1366
73.60811464,1367
70.36760644,1368
68.18695506,1369
67.12731861,1370
66.09327957,1371
64.98823503,1372
64.12671152,1373
64.06067209,1374
64.41390289,1375
65.02667971,1376
65.73118626,1377
66.24309706,1378
66.59253357,1379
67.262,1380
68.78662028,1381
70.76949108,1382
72.07198632,1383
72.79453382,1384
73.73685809,1385
75.26550796,1386
76.97679828,1387
78.05342541,1388
78.70346741,1389
77.85964066,1390
75.18524399,1391
72.16183516,1392
69.7804656,1393
68.1431653,1394
68.1328226,1395
69.70694668,1396
71.80473736,1397
73.86356577,1398
75.81157802,1399
77.40376579,1400
78.04405324,1401
77.57998126,1402
76.52679485,1403
74.33387283,1404
71.80115058,1405
70.48857375,1406
70.29370678,1407
70.13762222,1408
69.31989402,1409
67.47968,1410
65.13456074,1411
62.65018958,1412
60.18295675,1413
58.23301213,1414
57.43207818,1415
57.51130024,1416
57.83434276,1417
58.91845881,1418
60.48012777,1419
61.76094823,1420
62.75985755,1421
63.6443698,1422
64.33830045,1423
64.72008419,1424
64.81896,1425
64.87677027,1426
64.69881657,1427
64.32151547,1428
64.15373707,1429
64.34641432,1430
65.01240905,1431
66.32085314,1432
67.66512916,1433
68.51787318,1434
69.17035021,1435
69.85684726,1436
70.61634677,1437
71.36417898,1438
71.99982372,1439
72.82568,1440
74.48319149,1441
76.34990241,1442
77.08844582,1443
76.77820311,1444
75.43018624,1445
73.15323515,1446
71.3951848,1447
70.94402571,1448
70.89332372,1449
70.55440534,1450
69.67324004,1451
68.54175436,1452
67.48434956,1453
66.4310577,1454
65.39968,1455
64.97471229,1456
65.63858629,1457
67.03978047,1458
69.56019143,1459
72.61901216,1460
74.33926462,1461
